2016-09-08 15:16:31.969 INFO     [Timer-0]:moe.tristan.Lyrical.model.integration.system.SystemUtilities - Current platform is : Windows 10
2016-09-08 15:48:25.666 INFO     [Timer-0]:SystemUtilities - Platform detected as Windows
2016-09-08 15:48:36.752 DEBUG    [Timer-0]:MusixMatchService - Song not found : [No title,No artist]
2016-09-08 15:48:36.752 INFO     [Timer-0]:PlayerMonitorService - The song changed to : No title - No artist
2016-09-08 16:13:35.920 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-08 16:13:35.928 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-08 16:13:35.929 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-08 16:13:35.933 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-08 16:13:35.933 INFO     [JavaFX Application Thread]:SystemUtilities - Platform detected as Windows
2016-09-08 16:13:35.934 INFO     [JavaFX Application Thread]:PlayerMonitorService - Correctly started monitoring iTunes
2016-09-08 16:13:36.646 DEBUG    [Timer-0]:MusixMatchService - Song not found : [No title,No artist]
2016-09-08 16:13:36.646 INFO     [Timer-0]:PlayerMonitorService - The song changed to : No title - No artist
2016-09-09 11:57:29.120 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-09 11:57:29.131 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-09 11:57:29.133 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-09 11:57:29.139 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-09 11:57:29.139 INFO     [JavaFX Application Thread]:SystemUtilities - Platform detected as Windows
2016-09-09 11:57:29.144 INFO     [JavaFX Application Thread]:PlayerMonitorService - Correctly started monitoring iTunes
2016-09-09 13:19:58.668 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-09 13:19:58.682 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-09 13:19:58.684 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-09 13:19:58.717 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-09 13:20:20.374 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-09 13:20:20.385 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-09 13:20:20.387 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-09 13:20:20.393 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-10 13:11:39.087 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-10 13:11:39.098 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-10 13:11:39.100 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-10 13:11:39.103 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-10 13:17:34.640 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-10 13:17:34.651 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-10 13:17:34.653 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-10 13:17:34.659 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-10 13:20:29.540 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-10 13:20:29.550 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-10 13:20:29.552 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-10 13:20:29.556 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-10 13:20:29.559 INFO     [JavaFX Application Thread]:SystemUtilities - Platform detected as Windows
2016-09-10 13:20:29.586 INFO     [JavaFX Application Thread]:PlayerMonitorService - Correctly started monitoring iTunes
2016-09-10 13:23:32.568 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-10 13:23:32.578 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-10 13:23:32.579 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-10 13:23:32.583 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-10 13:23:32.584 INFO     [JavaFX Application Thread]:SystemUtilities - Loaded JACOB 1.18 64 bits at : /C:/Users/tdelo/IdeaProjects/Lyrical/target/classes/native/jacob-1.18-x64.dll
2016-09-10 13:23:32.585 INFO     [JavaFX Application Thread]:SystemUtilities - Platform detected as Windows
2016-09-10 13:23:32.586 INFO     [JavaFX Application Thread]:PlayerMonitorService - Correctly started monitoring iTunes
2016-09-10 13:28:19.247 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-10 13:28:19.257 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-10 13:28:19.259 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-10 13:28:19.263 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-10 13:28:19.265 INFO     [JavaFX Application Thread]:SystemUtilities - Loaded JACOB 1.18 64 bits at : /C:/Users/tdelo/IdeaProjects/Lyrical/target/classes/native/jacob-1.18-x64.dll
2016-09-10 13:28:19.265 INFO     [JavaFX Application Thread]:SystemUtilities - Platform detected as Windows
2016-09-10 13:28:19.267 INFO     [JavaFX Application Thread]:PlayerMonitorService - Correctly started monitoring iTunes
2016-09-10 13:32:37.421 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-10 13:32:37.431 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-10 13:32:37.433 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-10 13:32:37.438 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-10 13:32:37.441 INFO     [JavaFX Application Thread]:SystemUtilities - Loaded JACOB 1.18 64 bits at : /C:/Users/tdelo/IdeaProjects/Lyrical/target/classes/native/jacob-1.18-x64.dll
2016-09-10 13:32:37.441 INFO     [JavaFX Application Thread]:SystemUtilities - Platform detected as Windows
2016-09-10 13:32:37.443 INFO     [JavaFX Application Thread]:PlayerMonitorService - Correctly started monitoring iTunes
2016-09-10 13:32:38.091 DEBUG    [Timer-0]:MusixMatchService - Song not found : [No title,No artist]
2016-09-10 13:32:38.091 INFO     [Timer-0]:PlayerMonitorService - The song changed to : No title - No artist
2016-09-12 12:20:28.706 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-12 12:20:28.720 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-12 12:20:28.726 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-12 12:20:28.734 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-12 12:20:28.790 INFO     [JavaFX Application Thread]:SystemUtilities - Loaded JACOB 1.18 64 bits at : /C:/Users/tdelo/IdeaProjects/Lyrical/target/classes/native/jacob-1.18-x64.dll
2016-09-12 12:20:28.790 INFO     [JavaFX Application Thread]:SystemUtilities - Platform detected as Windows
2016-09-12 12:20:31.802 INFO     [JavaFX Application Thread]:PlayerMonitorService - Correctly started monitoring iTunes
2016-09-12 12:20:32.451 DEBUG    [Timer-0]:MusixMatchService - Song not found : [No title,No artist]
2016-09-12 12:20:32.452 INFO     [Timer-0]:PlayerMonitorService - The song changed to : No title - No artist
2016-09-12 12:21:21.827 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-12 12:21:21.836 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-12 12:21:21.837 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-12 12:21:21.842 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-12 12:21:21.844 INFO     [JavaFX Application Thread]:SystemUtilities - Loaded JACOB 1.18 64 bits at : /C:/Users/tdelo/IdeaProjects/Lyrical/target/classes/native/jacob-1.18-x64.dll
2016-09-12 12:21:21.844 INFO     [JavaFX Application Thread]:SystemUtilities - Platform detected as Windows
2016-09-12 12:21:21.872 INFO     [JavaFX Application Thread]:PlayerMonitorService - Correctly started monitoring iTunes
2016-09-12 12:21:22.086 DEBUG    [Timer-0]:MusixMatchService - Song not found : [No title,No artist]
2016-09-12 12:21:22.086 INFO     [Timer-0]:PlayerMonitorService - The song changed to : No title - No artist
2016-09-12 12:24:44.310 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Reading the default configuration profile.
2016-09-12 12:24:44.321 DEBUG    [JavaFX Application Thread]:ApplicationConfigurationReader - Read configuration is : {MUSIXMATCH_API_KEY=cf95b51764535943eae59b7e94a3f96c}
2016-09-12 12:24:44.322 INFO     [JavaFX Application Thread]:LyricsServicesManager - Correctly registered the MusixMatchService service.
2016-09-12 12:24:44.326 INFO     [JavaFX Application Thread]:SystemUtilities - Current platform is : Windows 10
2016-09-12 12:24:44.328 INFO     [JavaFX Application Thread]:SystemUtilities - Loaded JACOB 1.18 64 bits at : /C:/Users/tdelo/IdeaProjects/Lyrical/target/classes/native/jacob-1.18-x64.dll
2016-09-12 12:24:44.328 INFO     [JavaFX Application Thread]:SystemUtilities - Platform detected as Windows
2016-09-12 12:24:44.355 INFO     [JavaFX Application Thread]:Monitor - Correctly spawned a Monitor for iTunes
2016-09-12 12:24:44.355 INFO     [JavaFX Application Thread]:PlayerMonitorService - Correctly started monitoring iTunes
2016-09-12 12:24:44.798 DEBUG    [Timer-0]:MusixMatchService - Song not found : [No title,No artist]
2016-09-12 12:24:44.799 INFO     [Timer-0]:PlayerMonitorService - The song changed to : No title - No artist
2016-09-12 12:24:50.567 INFO     [Thread-5]:Monitor - Correctly killed the monitor on iTunes
